actual_matches_fifo,admitted,attempt_depth,best_validation_gap,best_validation_gap_after,block,branch_development,classification,controller,eligible_count,family_differentiated,family_fallback_count,family_observations_min,family_q_span,family_scale_exceeds_gain_scale,full_vs_fifo_differs,full_vs_gain_differs,global_gain,global_improved,job_id,multi_branch,node_id,parent_gain,parent_id,parent_improved,same_history_FR_prompt_differs,same_history_FR_selection_differs,seed,step,success_depth,test_data_used,valid,weighted_gain_span
True,True,,0.06675705834313762,0.05681548819223457,12,False,competitive_local_improvement,relational_branch,0,False,0,,0.0,False,False,False,0.00994157015090305,True,minimax-relational_branch-b12-s0,False,3,0.032826508115449585,2,True,False,False,0,0,1,False,True,0.0
True,False,2,0.05681548819223457,0.05681548819223457,12,True,unproductive_repeat,relational_branch,1,False,1,1,0.0,False,False,False,-0.014651069226506053,False,minimax-relational_branch-b12-s0,False,4,-0.014651069226506053,3,False,False,False,0,1,,False,True,0.0
True,False,,0.05681548819223457,0.05681548819223457,12,False,unproductive_repeat,relational_branch,1,False,0,2,0.0,False,False,False,-0.01503118872264736,False,minimax-relational_branch-b12-s0,False,5,-0.01503118872264736,3,False,False,False,0,2,,False,True,0.0
True,True,2,0.05681548819223457,0.056212788132251584,12,True,competitive_local_improvement,relational_branch,1,False,0,2,0.0,False,False,False,0.0006027000599829885,True,minimax-relational_branch-b12-s0,False,6,0.0006027000599829885,3,True,False,False,0,3,2,False,True,0.0
True,False,,0.056212788132251584,0.056212788132251584,12,False,unproductive_repeat,relational_branch,1,False,0,3,0.0,False,False,False,-0.023740224313799893,False,minimax-relational_branch-b12-s0,False,7,,,False,False,False,0,4,,False,True,0.0
True,True,3,0.056212788132251584,0.054851429137535074,12,True,competitive_local_improvement,relational_branch,1,False,0,3,0.0,False,False,False,0.0013613589947165106,True,minimax-relational_branch-b12-s0,False,8,0.0013613589947165106,6,True,False,False,0,5,3,False,True,0.0
True,True,,0.054851429137535074,0.05401963511472366,12,False,competitive_local_improvement,relational_branch,2,False,0,4,0.0,False,False,False,0.0008317940228114162,True,minimax-relational_branch-b12-s0,False,9,0.0356223611929605,2,True,False,False,0,6,1,False,True,0.0002650022411812541
False,False,4,0.05401963511472366,0.05401963511472366,12,True,invalid_program,relational_branch,3,True,1,1,0.11111111111111105,True,True,True,,False,minimax-relational_branch-b12-s0,True,10,,8,False,True,True,0,7,,False,False,0.008830252790742251
True,False,,0.05401963511472366,0.05401963511472366,12,False,unproductive_repeat,relational_branch,3,False,1,1,0.0714285714285714,True,False,False,-0.009288897928501488,False,minimax-relational_branch-b12-s0,False,11,-0.009288897928501488,9,False,False,False,0,8,,False,True,0.008830252790742251
False,False,4,0.05401963511472366,0.05401963511472366,12,True,unproductive_repeat,relational_branch,3,True,1,1,0.04545454545454547,True,True,True,-0.004934404705259604,False,minimax-relational_branch-b12-s0,True,12,-0.004102610682448188,8,False,True,True,0,9,,False,True,0.008830252790742251
True,False,,0.05401963511472366,0.05401963511472366,12,False,unproductive_repeat,relational_branch,2,False,1,1,0.027777777777777735,True,False,False,-0.0016335978593329248,False,minimax-relational_branch-b12-s0,False,13,-0.0016335978593329248,9,False,False,False,0,10,,False,True,0.008830252790742251
True,False,3,0.05401963511472366,0.05401963511472366,12,True,unproductive_repeat,relational_branch,2,True,1,1,0.05982905982905978,True,False,True,-0.00393115442230918,False,minimax-relational_branch-b12-s0,True,14,-0.001738001404781253,6,False,False,False,0,11,,False,True,0.008830252790742251
True,True,,0.05401963511472366,0.05401963511472366,12,False,competitive_local_improvement,relational_branch,1,False,1,1,0.0,False,False,False,-0.01929609440240329,False,minimax-relational_branch-b12-s0,False,15,0.006637282928924529,7,True,False,False,0,12,1,False,True,0.0
False,True,2,0.05401963511472366,0.05401963511472366,12,True,competitive_local_improvement,relational_branch,2,True,1,1,0.09999999999999998,True,True,True,-0.0060377647637457205,False,minimax-relational_branch-b12-s0,True,16,0.01325832963865757,15,True,True,True,0,13,2,False,True,0.007246269566008993
True,False,,0.05401963511472366,0.05401963511472366,12,False,unproductive_repeat,relational_branch,3,False,1,1,0.16249999999999998,True,False,False,-0.011179260696512913,False,minimax-relational_branch-b12-s0,False,17,-0.011179260696512913,9,False,False,False,0,14,,False,True,0.008075929932124559
False,False,3,0.05401963511472366,0.05401963511472366,12,True,known_rule_reproduction,relational_branch,3,True,0,2,0.09999999999999998,True,True,True,-0.0060377647637457205,False,minimax-relational_branch-b12-s0,True,18,0.0,16,False,True,True,0,15,,False,True,0.008075929932124559
True,False,,0.05401963511472366,0.05401963511472366,12,False,unproductive_repeat,relational_branch,3,False,0,2,0.0,False,False,False,-0.0027182794708127678,False,minimax-relational_branch-b12-s0,False,19,-0.0027182794708127678,9,False,False,False,0,16,,False,True,0.008075929932124559
True,False,2,0.05401963511472366,0.05401963511472366,12,True,unproductive_repeat,relational_branch,3,False,0,2,0.0,False,False,False,-0.005428646241965866,False,minimax-relational_branch-b12-s0,True,20,-0.005428646241965866,9,False,False,False,0,17,,False,True,0.008075929932124559
True,True,,0.05401963511472366,0.05401963511472366,12,False,competitive_local_improvement,relational_branch,3,False,0,3,0.09999999999999998,True,False,False,-0.0027182794708127678,False,minimax-relational_branch-b12-s0,False,21,0.023215097860515052,7,True,False,False,0,18,1,False,True,0.0036231347830044964
False,True,3,0.05401963511472366,0.05401963511472366,12,True,competitive_local_improvement,relational_branch,3,True,0,3,0.09999999999999998,True,True,True,-0.005909271580218353,False,minimax-relational_branch-b12-s0,True,22,0.00012849318352736727,16,True,True,True,0,19,3,False,True,0.004146483260296567
True,True,,0.05401963511472366,0.05363598977546046,12,False,competitive_local_improvement,relational_branch,3,False,0,3,0.17142857142857137,True,False,False,0.00038364533926319583,True,minimax-relational_branch-b12-s0,False,23,0.00038364533926319583,9,True,False,False,0,20,2,False,True,0.005771651169246921
False,False,3,0.05363598977546046,0.05363598977546046,12,True,unproductive_repeat,relational_branch,3,True,0,3,0.22499999999999998,True,True,True,-0.0026678400759647877,False,minimax-relational_branch-b12-s0,True,24,-0.0026678400759647877,23,False,True,True,0,21,,False,True,0.005707863130312964
