admission_improved_global,admission_parent_gain,admission_step,attempts_received,block,controller,eviction_step,final_best_parent_ancestor,first_followup_step,future_scheduled_slots,global_improving_followups,initial_grant,job_id,node_id,parent_improving_followups,seed,unused_at_eviction,unused_at_horizon,valid_followups
True,0.011733124937785396,28,1,12,relational_branch,,False,31,2,0,2,minimax-relational_branch-b12-s1,31,0,1,0,1,1
True,0.009551238150420006,29,0,12,relational_branch,,True,,1,0,2,minimax-relational_branch-b12-s1,32,0,1,0,2,0
False,0.008928095922726642,30,0,12,relational_branch,,False,,1,0,2,minimax-relational_branch-b12-s1,33,0,1,0,2,0
True,0.014244956092851896,0,2,11,relational_branch,6,True,1,16,1,2,minimax-relational_branch-b11-s0,3,1,0,0,0,2
True,0.004922210063669816,2,2,11,relational_branch,10,False,3,15,0,2,minimax-relational_branch-b11-s0,5,0,0,0,0,2
True,0.005958303760374185,5,2,11,relational_branch,13,False,7,13,1,2,minimax-relational_branch-b11-s0,8,1,0,0,0,2
False,0.003992171701233414,6,2,11,relational_branch,17,True,15,13,1,2,minimax-relational_branch-b11-s0,9,2,0,0,0,2
True,0.0013056268451964725,10,1,11,relational_branch,15,False,11,11,0,2,minimax-relational_branch-b11-s0,13,0,0,1,0,1
True,0.0014355381312379442,13,0,11,relational_branch,16,False,,9,0,2,minimax-relational_branch-b11-s0,16,0,0,2,0,0
False,0.0015509018102293423,15,0,11,relational_branch,26,False,,8,0,2,minimax-relational_branch-b11-s0,18,0,0,2,0,0
False,0.0055510359032564655,16,2,11,relational_branch,25,False,23,8,1,2,minimax-relational_branch-b11-s0,19,2,0,0,0,2
True,0.005954743930551835,17,2,11,relational_branch,23,True,19,7,0,2,minimax-relational_branch-b11-s0,20,0,0,0,0,2
False,0.0016969460765067779,23,0,11,relational_branch,,False,,4,0,2,minimax-relational_branch-b11-s0,26,0,0,0,2,0
True,0.010699765262652448,25,2,11,relational_branch,30,False,27,3,0,2,minimax-relational_branch-b11-s0,28,0,0,0,0,2
False,0.029380011759279283,26,0,11,relational_branch,,False,,3,0,2,minimax-relational_branch-b11-s0,29,0,0,0,2,0
True,0.02456618651022082,30,1,11,relational_branch,,True,31,1,0,2,minimax-relational_branch-b11-s0,33,0,0,0,1,1
True,0.03820442109020797,2,2,13,niche_fixed_dev,10,True,3,15,1,2,minimax-niche_fixed_dev-b13-s1,5,1,1,0,0,2
True,0.0036155100349853503,5,2,13,niche_fixed_dev,9,False,7,13,1,2,minimax-niche_fixed_dev-b13-s1,8,1,1,0,0,2
False,0.009851112567081086,6,1,13,niche_fixed_dev,11,False,11,13,0,2,minimax-niche_fixed_dev-b13-s1,9,1,1,1,0,1
True,0.015082722060075514,9,2,13,niche_fixed_dev,16,False,13,11,0,2,minimax-niche_fixed_dev-b13-s1,12,1,1,0,0,2
False,0.01030744204143029,10,1,13,niche_fixed_dev,17,True,17,11,0,2,minimax-niche_fixed_dev-b13-s1,13,1,1,1,0,1
False,0.02114837502863457,11,2,13,niche_fixed_dev,27,False,19,10,0,2,minimax-niche_fixed_dev-b13-s1,14,0,1,0,0,2
True,0.026512731377881293,16,2,13,niche_fixed_dev,28,False,23,8,0,2,minimax-niche_fixed_dev-b13-s1,19,0,1,0,0,2
False,0.010067415464481644,17,2,13,niche_fixed_dev,29,True,27,7,2,2,minimax-niche_fixed_dev-b13-s1,20,2,1,0,0,2
True,0.003507917100786233,27,1,13,niche_fixed_dev,,False,31,2,0,2,minimax-niche_fixed_dev-b13-s1,30,0,1,0,1,1
True,0.00028679372956019744,28,0,13,niche_fixed_dev,30,False,,2,0,2,minimax-niche_fixed_dev-b13-s1,31,0,1,2,0,0
True,0.006027974203581733,29,0,13,niche_fixed_dev,,True,,1,0,2,minimax-niche_fixed_dev-b13-s1,32,0,1,0,2,0
False,0.028402398285608546,30,0,13,niche_fixed_dev,,False,,1,0,2,minimax-niche_fixed_dev-b13-s1,33,0,1,0,2,0
True,0.030317444816712877,0,2,12,niche_fixed_dev,8,False,1,16,0,2,minimax-niche_fixed_dev-b12-s0,3,1,0,0,0,2
True,0.011591960076636251,2,2,12,niche_fixed_dev,7,False,5,15,1,2,minimax-niche_fixed_dev-b12-s0,5,1,0,0,0,2
False,0.0030145611876857686,3,2,12,niche_fixed_dev,14,False,9,14,0,2,minimax-niche_fixed_dev-b12-s0,6,0,0,0,0,2
True,0.0013827020075073276,7,2,12,niche_fixed_dev,15,False,13,12,0,2,minimax-niche_fixed_dev-b12-s0,10,1,0,0,0,2
False,0.021372842389381128,8,2,12,niche_fixed_dev,21,True,17,12,1,2,minimax-niche_fixed_dev-b12-s0,11,2,0,0,0,2
True,0.0308210214999076,14,2,12,niche_fixed_dev,26,False,21,9,0,2,minimax-niche_fixed_dev-b12-s0,17,1,0,0,0,2
False,0.0020092230698238456,15,0,12,niche_fixed_dev,17,False,,8,0,2,minimax-niche_fixed_dev-b12-s0,18,0,0,2,0,0
True,0.013317077128271765,17,2,12,niche_fixed_dev,29,True,25,7,0,2,minimax-niche_fixed_dev-b12-s0,20,0,0,0,0,1
False,0.0004631371382839769,21,0,12,niche_fixed_dev,22,False,,5,0,2,minimax-niche_fixed_dev-b12-s0,24,0,0,2,0,0
False,0.017509216827243587,22,2,12,niche_fixed_dev,,False,29,5,0,2,minimax-niche_fixed_dev-b12-s0,25,1,0,0,0,2
False,0.004726094053157215,26,0,12,niche_fixed_dev,,False,,3,0,2,minimax-niche_fixed_dev-b12-s0,29,0,0,0,2,0
False,0.0015021671235064121,29,0,12,niche_fixed_dev,,False,,1,0,2,minimax-niche_fixed_dev-b12-s0,32,0,0,0,2,0
True,0.027767142192133207,0,1,11,relational_branch,,False,1,16,0,2,minimax-relational_branch-b11-s1,3,0,1,0,1,1
True,0.010718693550118744,2,2,11,relational_branch,10,False,3,15,1,2,minimax-relational_branch-b11-s1,5,1,1,0,0,2
True,0.006136223901397966,3,1,11,relational_branch,6,False,5,14,0,2,minimax-relational_branch-b11-s1,6,0,1,1,0,1
False,0.010272419072715006,6,1,11,relational_branch,14,True,9,13,0,2,minimax-relational_branch-b11-s1,9,0,1,1,0,1
True,0.0012955640962315981,10,1,11,relational_branch,12,False,11,11,0,2,minimax-relational_branch-b11-s1,13,0,1,1,0,1
False,0.013239506849919938,12,1,11,relational_branch,16,False,13,10,0,2,minimax-relational_branch-b11-s1,15,1,1,1,0,1
True,0.02177403273626681,14,1,11,relational_branch,18,True,15,9,0,2,minimax-relational_branch-b11-s1,17,0,1,1,0,1
False,0.030626764137227487,16,1,11,relational_branch,,False,17,8,0,2,minimax-relational_branch-b11-s1,19,0,1,0,1,1
False,0.014467411420837933,18,1,11,relational_branch,20,False,19,7,0,2,minimax-relational_branch-b11-s1,21,0,1,1,0,1
False,0.015574458932237044,20,1,11,relational_branch,22,False,21,6,0,2,minimax-relational_branch-b11-s1,23,0,1,1,0,1
False,0.015083269974343422,22,2,11,relational_branch,26,False,23,5,0,2,minimax-relational_branch-b11-s1,25,2,1,0,0,2
True,0.0007510767898495987,26,1,11,relational_branch,27,True,27,3,1,2,minimax-relational_branch-b11-s1,29,1,1,1,0,1
True,0.00046082595942717464,27,0,11,relational_branch,28,True,,2,0,2,minimax-relational_branch-b11-s1,30,0,1,2,0,0
False,0.01930833600100576,28,1,11,relational_branch,30,False,29,2,0,2,minimax-relational_branch-b11-s1,31,0,1,1,0,1
False,0.016517102626686292,30,1,11,relational_branch,,False,31,1,0,2,minimax-relational_branch-b11-s1,33,0,1,0,1,1
True,0.004035059825221524,0,2,13,relational_branch,10,False,1,16,0,2,minimax-relational_branch-b13-s0,3,0,0,0,0,2
False,0.0007030093490942024,2,2,13,relational_branch,9,False,3,15,0,2,minimax-relational_branch-b13-s0,5,0,0,0,0,2
False,0.012206074727976995,6,2,13,relational_branch,11,False,9,13,0,2,minimax-relational_branch-b13-s0,9,2,0,0,0,2
False,0.0023879733670136433,9,2,13,relational_branch,25,False,13,11,0,2,minimax-relational_branch-b13-s0,12,0,0,0,0,2
False,0.006506539886420221,10,2,13,relational_branch,30,True,17,11,0,2,minimax-relational_branch-b13-s0,13,1,0,0,0,2
False,0.0023879733670136433,11,2,13,relational_branch,23,False,15,10,0,2,minimax-relational_branch-b13-s0,14,0,0,0,0,2
False,0.004897523183373567,23,1,13,relational_branch,,True,25,4,1,2,minimax-relational_branch-b13-s0,26,1,0,0,1,1
True,0.009585565451637232,25,2,13,relational_branch,,True,27,3,0,2,minimax-relational_branch-b13-s0,28,0,0,0,0,2
False,0.008763524561534855,30,1,13,relational_branch,,False,31,1,0,2,minimax-relational_branch-b13-s0,33,0,0,0,1,1
True,0.038981196694048995,0,2,11,niche_fixed_dev,5,True,1,16,1,2,minimax-niche_fixed_dev-b11-s1,3,1,1,0,0,2
False,0.008773336601484522,2,1,11,niche_fixed_dev,6,False,5,15,0,2,minimax-niche_fixed_dev-b11-s1,5,1,1,1,0,1
True,0.006022533177802804,3,2,11,niche_fixed_dev,11,True,7,14,0,2,minimax-niche_fixed_dev-b11-s1,6,0,1,0,0,2
False,0.012611411383085414,5,2,11,niche_fixed_dev,16,False,11,13,0,2,minimax-niche_fixed_dev-b11-s1,8,1,1,0,0,2
False,0.022924305813286076,6,2,11,niche_fixed_dev,17,False,15,13,0,2,minimax-niche_fixed_dev-b11-s1,9,1,1,0,0,1
False,0.001292263282625522,11,1,11,niche_fixed_dev,19,False,19,10,0,2,minimax-niche_fixed_dev-b11-s1,14,1,1,1,0,1
True,0.002056692120505098,16,2,11,niche_fixed_dev,25,True,21,8,1,2,minimax-niche_fixed_dev-b11-s1,19,1,1,0,0,2
False,0.002911386285219593,17,2,11,niche_fixed_dev,27,False,25,7,1,2,minimax-niche_fixed_dev-b11-s1,20,2,1,0,0,2
False,0.0006818147944672795,19,0,11,niche_fixed_dev,22,False,,6,0,2,minimax-niche_fixed_dev-b11-s1,22,0,1,2,0,0
False,0.0089539870229801,22,2,11,niche_fixed_dev,31,False,29,5,1,2,minimax-niche_fixed_dev-b11-s1,25,2,1,0,0,2
True,0.002795957858434117,25,0,11,niche_fixed_dev,29,False,,3,0,2,minimax-niche_fixed_dev-b11-s1,28,0,1,2,0,0
False,0.002795957858434117,27,0,11,niche_fixed_dev,28,False,,2,0,2,minimax-niche_fixed_dev-b11-s1,30,0,1,2,0,0
True,0.003382375389438315,28,0,11,niche_fixed_dev,30,False,,2,0,2,minimax-niche_fixed_dev-b11-s1,31,0,1,2,0,0
True,0.006810353389201433,29,0,11,niche_fixed_dev,,False,,1,0,2,minimax-niche_fixed_dev-b11-s1,32,0,1,0,2,0
True,0.006055770065072484,30,0,11,niche_fixed_dev,,True,,1,0,2,minimax-niche_fixed_dev-b11-s1,33,0,1,0,2,0
False,0.005696169695168937,31,0,11,niche_fixed_dev,,False,,0,0,2,minimax-niche_fixed_dev-b11-s1,34,0,1,0,2,0
