job_id,provider,model,task,method,block,regime,steps,token_budget,single_test_loss,selector_test_loss,single_algorithm_seconds,selected_algorithm_seconds,saved_selector_feature_and_predict_seconds,selector_total_seconds,end_to_end_time_ratio,single_feature_calls,selected_feature_calls,selected_local_checks,test_instances,prediction_timing_mode,exact_reference_generation_timed,replay_matches
qwen-tsp-relational_qp_rr-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,2,slots8,8,,0.05206376641266345,0.0565781759785986,0.21562120004091412,0.2102136000758037,0.06892420002259314,0.27913780009839684,1.2945749306906298,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_qp_rr-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp_rr,2,tokens30000,32,30000,0.05206376641266345,0.043095619578916146,0.22255580010823905,0.21493730007205158,0.08169579994864762,0.2966331000206992,1.3328482109944246,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_rr-b2-slots8,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,2,slots8,8,,0.05206376641266345,0.048121828983359316,0.21606170001905411,0.22366650006733835,0.0975297000259161,0.32119620009325445,1.48659480169289,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
qwen-tsp-relational_rr-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_rr,2,tokens30000,32,30000,0.05206376641266345,0.05459127985951196,0.21586360002402216,0.23395449994131923,0.07422059995587915,0.3081750998971984,1.4276381004620669,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-niche-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,3,slots8,8,,0.05899181756092463,0.0624067604056447,0.35799950000364333,0.330659200088121,0.0665472000837326,0.3972064001718536,1.1095166338718665,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-niche-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,niche,3,tokens30000,32,30000,0.06278023053274404,0.05978424695933119,0.21030839998275042,0.22326580004300922,0.08252379996702075,0.30578960001002997,1.4540056414061966,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,3,slots8,8,,0.07539966942268499,0.06895029416463706,0.28329040005337447,0.3247685000533238,0.08838259999174625,0.41315110004507005,1.458401343523214,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,3,tokens30000,32,30000,0.06278023053274404,0.056064054238232894,0.21516679995693266,0.2332272999919951,0.06336280005052686,0.29659010004252195,1.3784194406473806,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b3-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,3,slots8,8,,0.08560787797695248,0.06509541394664294,0.321267299936153,0.29151390003971756,0.06554250000044703,0.3570564000401646,1.111399759985296,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
minimax-tsp-relational_qp-b3-tokens30000,minimax-cn-coding-plan,MiniMax-M3,tsp,relational_qp,3,tokens30000,32,30000,0.05895714589331033,0.05895714589331033,0.23622429999522865,0.23642309999559075,0.06372279999777675,0.3001458999933675,1.2705970554232988,2376,2376,864,36,saved 36-instance batch time averaged per instance,False,True
