job_id,provider,model,task,method,block,regime,steps,token_budget,status,result_present,source_fingerprint,benchmark_version,request_errors,usage_complete,reservation_violations,budget_stop_stage,selector_status,validation_selected_test_loss,validation_selected_test_valid,common_gate_test_behavior_modes,common_gate_test_eligible_size,valid_fraction,tokens_used,token_budget_valid,learned_selector_test_loss,selector_gain_vs_single,selector_seconds_per_instance,oracle_gain_upper_bound,parent_improvements,neighborhood_improvements,productive_collisions,unproductive_collisions,restarts,generated,valid_generated,input_tokens,output_tokens,model_calls,partial_attempts,elapsed_seconds
minimax-binpack-relational-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,0,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10892689570996252,True,5,6,1.0,31011,,,,,,1,0,1,1,5,8,8,27586,3425,16,0,49.1432533999905
minimax-binpack-relational-b4-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,1,True,0,,not_applicable_online_task,0.10828340769890829,True,3,3,0.875,31519,,,,,,1,0,0,6,6,8,7,28693,2826,16,0,39.424559699953534
qwen-binpack-relational_qp_rr-b0-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp_rr,0,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10892689570996252,True,2,2,1.0,28630,,,,,,2,0,2,6,6,8,8,27114,1516,16,0,38.198710400029086
minimax-tsp-relational-b4-slots8,minimax-cn-coding-plan,MiniMax-M3,tsp,relational,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,ok,0.05186854709736476,True,1,1,1.0,29521,,0.05186854709736476,0.0,0.0017578305560164154,0.0,0,0,0,0,7,8,8,26728,2793,16,0,38.73356480000075
minimax-binpack-relational_qp_rr-b0-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_qp_rr,0,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10892689570996252,True,8,9,0.875,28636,,,,,,1,0,0,0,5,8,7,25349,3287,16,0,44.09550219995435
qwen-binpack-relational_qp-b4-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_qp,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10828340769890829,True,3,3,1.0,27214,,,,,,0,0,0,7,7,8,8,25737,1477,16,0,39.10502729995642
qwen-tsp-relational_qp-b2-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,tsp,relational_qp,2,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,ok,0.05206376641266345,True,4,4,1.0,23024,True,0.060896476280633466,-0.008832709867970016,0.001832499999889276,0.025475239597410947,0,0,0,0,6,7,7,21716,1308,14,0,42.36501910001971
minimax-binpack-relational_rr-b2-slots8,minimax-cn-coding-plan,MiniMax-M3,binpack,relational_rr,2,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10182804463758785,True,6,6,1.0,30870,,,,,,0,0,0,2,5,8,8,27632,3238,16,0,46.59941810008604
qwen-binpack-relational-b4-slots8,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational,4,slots8,8,,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,,not_applicable_online_task,0.10828340769890829,True,2,2,1.0,27483,,,,,,1,0,1,7,7,8,8,26220,1263,16,0,49.62578600004781
qwen-binpack-relational_rr-b0-tokens30000,alibaba-token-plan-cn,qwen3.7-plus,binpack,relational_rr,0,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10892689570996252,True,2,2,1.0,20398,True,,,,,0,0,0,6,6,6,6,19211,1187,12,0,34.80587729997933
minimax-binpack-relational-b0-tokens30000,minimax-cn-coding-plan,MiniMax-M3,binpack,relational,0,tokens30000,32,30000,completed,True,3ff293fa5fe8eac7a2982fe029090ebdf211e6565eabd2159bdb02ac25741bc3,heuristic-benchmark-2-frozen-pilot|chapter6-v11-independent-v1,0,True,0,planner_admission,not_applicable_online_task,0.10892689570996252,True,4,4,0.8333333333333334,20543,True,,,,,0,0,0,2,5,6,5,18280,2263,12,0,31.86196170002222
