cached_tokens,case_id,cohort,complete,config_id,dispatched,executable,failure,finish_reason,input_characters,input_tokens,job_id,json_valid,max_tokens,output_tokens,reasoning_tokens,repeat,request_id,returned_model,role,schema_valid,seconds,template,usage_complete,valid,validation_reason
128,,acceptance,True,expanded_caps,True,,,stop,3016,946,acc-p-t2-r0,True,4096,2374,2269,0,0706c5359453b7b6f47741755623dc5a,MiniMax-M3,planner,True,15.059737500036135,reference_revision,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,3031,951,acc-p-t2-r1,True,4096,3952,3814,1,0706c54443939e99c9f8e241461b387c,MiniMax-M3,planner,True,14.543451300007291,reference_revision,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,3019,948,acc-p-t2-r2,True,4096,3290,3117,2,0706c5529182f2d73036527c4a3195c7,MiniMax-M3,planner,True,11.40844459994696,reference_revision,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,3016,947,acc-p-t2-r3,True,4096,2753,,3,0706c55e123e7161bed3818a60bb9bb9,MiniMax-M3,planner,True,17.81337660003919,reference_revision,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,3024,948,acc-p-t2-r4,True,4096,1062,965,4,0706c570973290fa32b5709a6cec59d3,MiniMax-M3,planner,True,4.925304800039157,reference_revision,True,True,valid
128,,acceptance,True,expanded_caps,True,,,stop,3020,947,acc-p-t2-r5,True,4096,1255,,5,0706c575625dc8ede37ec6857e75afad,MiniMax-M3,planner,True,8.028398699942045,reference_revision,True,True,valid
128,,acceptance,True,expanded_caps,True,True,,stop,2192,649,acc-c-t0-r0,True,4096,818,676,0,0706c57d495bd516ac7701903cad4421,MiniMax-M3,coder,True,4.069156200042926,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2195,649,acc-c-t0-r1,True,4096,1936,0,1,0706c581eff389b62948b322e366762e,MiniMax-M3,coder,True,21.768557699979283,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2195,649,acc-c-t0-r2,True,4096,3837,,2,0706c597fd6b401924525be6078adf78,MiniMax-M3,coder,True,20.49592850008048,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2195,649,acc-c-t0-r3,True,4096,1794,1708,3,0706c5ab3723f7561966c9b3c016e559,MiniMax-M3,coder,True,7.73037700005807,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2195,649,acc-c-t0-r4,True,4096,1385,0,4,0706c5b3bb1d8cbdf5217be11830e3e8,MiniMax-M3,coder,True,13.502683899947442,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2194,649,acc-c-t0-r5,True,4096,1051,0,5,0706c5c1b8630ccb45e8dbf4e1344173,MiniMax-M3,coder,True,12.43284629995469,from_scratch,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2272,678,acc-c-t1-r0,True,4096,1217,1134,0,0706c5cd61e466d0accb6aafa6eca40e,MiniMax-M3,coder,True,3.852826000074856,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2275,678,acc-c-t1-r1,True,4096,1607,1491,1,0706c5d18f8110e96344d99aac354040,MiniMax-M3,coder,True,5.729162500007078,parent_revision,True,True,executable_on_4_feature_fixtures
531,,acceptance,True,expanded_caps,True,True,,stop,2275,678,acc-c-t1-r2,True,4096,1820,1703,2,0706c5d798e7f0ca13e943c657a04f5e,MiniMax-M3,coder,True,5.746547199902125,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2275,678,acc-c-t1-r3,True,4096,2817,0,3,0706c5dd8a1a7400b043e9a06195bacd,MiniMax-M3,coder,True,30.223020599922165,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2275,678,acc-c-t1-r4,True,4096,1074,,4,0706c5fb79ebee71a5764d3b45948efe,MiniMax-M3,coder,True,6.715280800010078,parent_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2274,678,acc-c-t1-r5,True,4096,1341,1254,5,0706c6024f6a96a14cfc3c7fc3e55fe2,MiniMax-M3,coder,True,6.550415199948475,parent_revision,True,True,executable_on_4_feature_fixtures
512,,acceptance,True,expanded_caps,True,True,,stop,2342,708,acc-c-t2-r0,True,4096,1004,0,0,0706c608891aa7d5aebae2f315dffc85,MiniMax-M3,coder,True,7.733554900041781,reference_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2345,708,acc-c-t2-r1,True,4096,874,779,1,0706c610df0c7c0db92ebc3de45e44e5,MiniMax-M3,coder,True,4.514172099996358,reference_revision,True,True,executable_on_4_feature_fixtures
205,,acceptance,True,expanded_caps,True,True,,stop,2345,708,acc-c-t2-r2,True,4096,620,,2,0706c615df74f0d09c89912d58deacf4,MiniMax-M3,coder,True,5.681103699957021,reference_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2345,708,acc-c-t2-r3,True,4096,1889,1814,3,0706c61a6faa451ec9998e0efbe0cfab,MiniMax-M3,coder,True,5.841494400054216,reference_revision,True,True,executable_on_4_feature_fixtures
512,,acceptance,True,expanded_caps,True,True,,stop,2345,708,acc-c-t2-r4,True,4096,1703,1604,4,0706c620f9558af06b18f816ddd2fb25,MiniMax-M3,coder,True,11.797032300033607,reference_revision,True,True,executable_on_4_feature_fixtures
128,,acceptance,True,expanded_caps,True,True,,stop,2344,708,acc-c-t2-r5,True,4096,1213,1120,5,0706c62cb42a0dda4436bd7273719296,MiniMax-M3,coder,True,4.008941699983552,reference_revision,True,True,executable_on_4_feature_fixtures
256,e2e-t0-r0,end_to_end,True,expanded_caps,True,,,stop,2353,706,e2e-t0-r0-p,True,4096,3926,3750,0,0706c630e0cea697464ff562de8c4da5,MiniMax-M3,planner,True,28.980471099959686,from_scratch,True,True,valid
205,e2e-t0-r0,end_to_end,True,expanded_caps,True,True,,stop,2535,744,e2e-t0-r0-c,True,4096,2057,,0,0706c64d1d16ec25653b0e01bf02aca6,MiniMax-M3,coder,True,10.811760599957779,from_scratch,True,True,executable_on_4_feature_fixtures
128,e2e-t0-r1,end_to_end,True,expanded_caps,True,,,stop,2350,705,e2e-t0-r1-p,True,4096,2704,,1,0706c65889ea9a3d4b504f2ef9e20c83,MiniMax-M3,planner,True,14.694183600018732,from_scratch,True,True,valid
384,e2e-t0-r1,end_to_end,True,expanded_caps,True,True,,stop,2534,708,e2e-t0-r1-c,True,4096,3649,0,1,0706c6670e6c3e2a4869b38fb9b15724,MiniMax-M3,coder,True,39.01175920001697,from_scratch,True,True,executable_on_4_feature_fixtures
128,e2e-t1-r0,end_to_end,True,expanded_caps,True,,,stop,2688,826,e2e-t1-r0-p,True,4096,2823,2686,0,0706c68e4b8e424d2f01ed7a5e2faf3c,MiniMax-M3,planner,True,11.831024599960074,parent_revision,True,True,valid
384,e2e-t1-r0,end_to_end,True,expanded_caps,True,True,,stop,2533,739,e2e-t1-r0-c,True,4096,917,0,0,0706c69a6c2a8a372851b7d392218ef3,MiniMax-M3,coder,True,12.908593200030737,parent_revision,True,True,executable_on_4_feature_fixtures
128,e2e-t1-r1,end_to_end,True,expanded_caps,True,,,stop,2697,828,e2e-t1-r1-p,True,4096,2707,,1,0706c6a7cb8b26a7c4c7bd77b6c93ad1,MiniMax-M3,planner,True,16.330627800081857,parent_revision,True,True,valid
128,e2e-t1-r1,end_to_end,True,expanded_caps,True,True,,stop,2565,734,e2e-t1-r1-c,True,4096,3142,3092,1,0706c6b71508d3d680b75549fb981029,MiniMax-M3,coder,True,9.656130600022152,parent_revision,True,True,executable_on_4_feature_fixtures
128,e2e-t2-r0,end_to_end,True,expanded_caps,True,,,stop,3022,946,e2e-t2-r0-p,True,4096,1891,,0,0706c6c1ca449ec515e5c9e60e41d33d,MiniMax-M3,planner,True,12.209774499991909,reference_revision,True,True,valid
512,e2e-t2-r0,end_to_end,True,expanded_caps,True,True,,stop,2354,718,e2e-t2-r0-c,True,4096,559,512,0,0706c6cdb95c5c3483bf7e8930020c01,MiniMax-M3,coder,True,5.4013578000012785,reference_revision,True,True,executable_on_4_feature_fixtures
128,e2e-t2-r1,end_to_end,True,expanded_caps,True,,,stop,3022,949,e2e-t2-r1-p,True,4096,1159,0,1,0706c6d31b76f9d5e65bee0db9cbd865,MiniMax-M3,planner,True,18.212131700012833,reference_revision,True,True,valid
128,e2e-t2-r1,end_to_end,True,expanded_caps,True,True,,stop,2891,811,e2e-t2-r1-c,True,4096,697,646,1,0706c6e50f25e9e85c1992911bd7afe3,MiniMax-M3,coder,True,2.9965770000126213,reference_revision,True,True,executable_on_4_feature_fixtures
